Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g,opt_gap
66,2,5,180,1179396,3538188,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.8749999999999999, 0.29166666666666663]","[0.3333333333333333, 0.3333333333333333]",0.7,0.3837319829586251,3910164_35,12,15:00:00,,,3910259_35,9,15:00:00,,,
67,2,5,160,933156,2799468,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.8749999999999999, 0.4375]","[0.3333333333333333, 0.5]",0.7,0.3844908436925104,3910165_36,12,(HH:MM:SS): 08:36:59,1221,1.0817360877990723,3910260_36,9,15:00:00,,,
68,2,5,144,756900,2270700,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.8749999999999999, 0.5833333333333333]","[0.3333333333333333, 0.6666666666666666]",0.7,0.3852532157670306,3427466_69,4,(HH:MM:SS): 15:38:51,3027.0,1.2208938598632812,3910261_37,9,15:00:00,,,
69,2,5,286,2965284,8895852,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[1.0, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333]",0.8,0.5635426790134779,3910166_37,12,15:00:00,,,3910262_38,9,15:00:00,,,
70,2,5,255,2359296,7077888,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[1.0, 0.5]","[0.3333333333333333, 0.5]",0.8,0.5646887248199801,3910167_38,10,15:00:00,,,3910263_39,9,15:00:00,,,
71,2,5,230,1920996,5762988,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[1.0, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666]",0.8,0.5658271353896143,3910168_39,10,15:00:00,,,3910264_40,9,15:00:00,,,
72,2,10,34,148225,444675,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.41666666666666663, 1.25]","[0.3333333333333333, 0.3333333333333333]",0.5,0.0363243371736741,3381205_3,1,(MM:SS): 11:09,661.0,1.6900954147179923,3391637_73,1,(MM:SS): 03:59,501.0,1.6569515069325766,0.0196106725672325
73,2,10,25,81796,245388,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.41666666666666663, 1.875]","[0.3333333333333333, 0.5]",0.5,0.0365492506222048,3381206_4,1,(MM:SS): 04:17,602.0,2.3646172881126404,3391638_74,1,(MM:SS): 02:03,536.0,2.285159528255462,0.0336027991745754
74,2,10,20,53361,160083,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.41666666666666663, 2.5]","[0.3333333333333333, 0.6666666666666666]",0.5,0.0368296651019824,3381264_5,1,(MM:SS): 02:01,521.0,3.057526151339213,3391639_75,1,(MM:SS): 01:39,570.0,2.9146291812260943,0.0467361399510938
75,2,10,54,366025,1098075,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.4999999999999999, 1.5]","[0.3333333333333333, 0.3333333333333333]",0.6,0.1050375978272656,3381275_6,1,(MM:SS): 59:59,939.0,1.9800240794817607,3391640_76,1,(MM:SS): 30:40,881.0,1.952884594599406,0.0137066438552899
76,2,10,40,203401,610203,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.4999999999999999, 2.25]","[0.3333333333333333, 0.5]",0.6,0.1066678412577839,3381276_7,1,(MM:SS): 23:01,856.0,2.788850963115692,3391641_77,1,(MM:SS): 14:17,832.0,2.7071505784988403,0.0292953570116835
77,2,10,31,123904,371712,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.4999999999999999, 3.0]","[0.3333333333333333, 0.6666666666666666]",0.6,0.1083811799201802,3381299_8,1,(MM:SS): 11:08,858.0,3.627538283665975,3391642_78,1,(MM:SS): 06:55,765.0,3.466309309005737,0.0444458368327131
